# energy dos
-2.661219999999999786e+01 0.000000000000000000e+00
-2.659979999999999833e+01 0.000000000000000000e+00
-2.658749999999999858e+01 0.000000000000000000e+00
-2.657509999999999906e+01 0.000000000000000000e+00
-2.656269999999999953e+01 0.000000000000000000e+00
-2.655039999999999978e+01 0.000000000000000000e+00
-2.653800000000000026e+01 0.000000000000000000e+00
-2.652570000000000050e+01 0.000000000000000000e+00
-2.651329999999999742e+01 0.000000000000000000e+00
-2.650089999999999790e+01 0.000000000000000000e+00
-2.648859999999999815e+01 0.000000000000000000e+00
-2.647619999999999862e+01 0.000000000000000000e+00
-2.646389999999999887e+01 0.000000000000000000e+00
-2.645149999999999935e+01 0.000000000000000000e+00
-2.643909999999999982e+01 0.000000000000000000e+00
-2.642680000000000007e+01 0.000000000000000000e+00
-2.641440000000000055e+01 0.000000000000000000e+00
-2.640199999999999747e+01 0.000000000000000000e+00
-2.638969999999999771e+01 0.000000000000000000e+00
-2.637729999999999819e+01 0.000000000000000000e+00
-2.636499999999999844e+01 0.000000000000000000e+00
-2.635259999999999891e+01 0.000000000000000000e+00
-2.634019999999999939e+01 0.000000000000000000e+00
-2.632789999999999964e+01 0.000000000000000000e+00
-2.631550000000000011e+01 0.000000000000000000e+00
-2.630310000000000059e+01 0.000000000000000000e+00
-2.629079999999999728e+01 0.000000000000000000e+00
-2.627839999999999776e+01 0.000000000000000000e+00
-2.626609999999999800e+01 0.000000000000000000e+00
-2.625369999999999848e+01 0.000000000000000000e+00
-2.624129999999999896e+01 0.000000000000000000e+00
-2.622899999999999920e+01 0.000000000000000000e+00
-2.621659999999999968e+01 0.000000000000000000e+00
-2.620429999999999993e+01 0.000000000000000000e+00
-2.619190000000000040e+01 0.000000000000000000e+00
-2.617949999999999733e+01 0.000000000000000000e+00
-2.616719999999999757e+01 0.000000000000000000e+00
-2.615479999999999805e+01 0.000000000000000000e+00
-2.614239999999999853e+01 0.000000000000000000e+00
-2.613009999999999877e+01 0.000000000000000000e+00
-2.611769999999999925e+01 0.000000000000000000e+00
-2.610539999999999949e+01 0.000000000000000000e+00
-2.609299999999999997e+01 0.000000000000000000e+00
-2.608060000000000045e+01 0.000000000000000000e+00
-2.606829999999999714e+01 0.000000000000000000e+00
-2.605589999999999762e+01 0.000000000000000000e+00
-2.604359999999999786e+01 0.000000000000000000e+00
-2.603119999999999834e+01 0.000000000000000000e+00
-2.601879999999999882e+01 0.000000000000000000e+00
-2.600649999999999906e+01 0.000000000000000000e+00
-2.599409999999999954e+01 0.000000000000000000e+00
-2.598170000000000002e+01 0.000000000000000000e+00
-2.596940000000000026e+01 0.000000000000000000e+00
-2.595699999999999719e+01 0.000000000000000000e+00
-2.594469999999999743e+01 0.000000000000000000e+00
-2.593229999999999791e+01 0.000000000000000000e+00
-2.591989999999999839e+01 0.000000000000000000e+00
-2.590759999999999863e+01 0.000000000000000000e+00
-2.589519999999999911e+01 0.000000000000000000e+00
-2.588289999999999935e+01 0.000000000000000000e+00
-2.587049999999999983e+01 0.000000000000000000e+00
-2.585810000000000031e+01 0.000000000000000000e+00
-2.584580000000000055e+01 0.000000000000000000e+00
-2.583339999999999748e+01 0.000000000000000000e+00
-2.582099999999999795e+01 0.000000000000000000e+00
-2.580869999999999820e+01 0.000000000000000000e+00
-2.579629999999999868e+01 0.000000000000000000e+00
-2.578399999999999892e+01 0.000000000000000000e+00
-2.577159999999999940e+01 0.000000000000000000e+00
-2.575919999999999987e+01 0.000000000000000000e+00
-2.574690000000000012e+01 0.000000000000000000e+00
-2.573450000000000060e+01 0.000000000000000000e+00
-2.572219999999999729e+01 0.000000000000000000e+00
-2.570979999999999777e+01 0.000000000000000000e+00
-2.569739999999999824e+01 0.000000000000000000e+00
-2.568509999999999849e+01 0.000000000000000000e+00
-2.567269999999999897e+01 0.000000000000000000e+00
-2.566029999999999944e+01 0.000000000000000000e+00
-2.564799999999999969e+01 0.000000000000000000e+00
-2.563560000000000016e+01 0.000000000000000000e+00
-2.562330000000000041e+01 0.000000000000000000e+00
-2.561089999999999733e+01 0.000000000000000000e+00
-2.559849999999999781e+01 0.000000000000000000e+00
-2.558619999999999806e+01 0.000000000000000000e+00
-2.557379999999999853e+01 0.000000000000000000e+00
-2.556149999999999878e+01 0.000000000000000000e+00
-2.554909999999999926e+01 0.000000000000000000e+00
-2.553669999999999973e+01 0.000000000000000000e+00
-2.552439999999999998e+01 0.000000000000000000e+00
-2.551200000000000045e+01 0.000000000000000000e+00
-2.549959999999999738e+01 0.000000000000000000e+00
-2.548729999999999762e+01 0.000000000000000000e+00
-2.547489999999999810e+01 0.000000000000000000e+00
-2.546259999999999835e+01 0.000000000000000000e+00
-2.545019999999999882e+01 0.000000000000000000e+00
-2.543779999999999930e+01 0.000000000000000000e+00
-2.542549999999999955e+01 0.000000000000000000e+00
-2.541310000000000002e+01 0.000000000000000000e+00
-2.540080000000000027e+01 0.000000000000000000e+00
-2.538839999999999719e+01 0.000000000000000000e+00
-2.537599999999999767e+01 0.000000000000000000e+00
-2.536369999999999791e+01 0.000000000000000000e+00
-2.535129999999999839e+01 0.000000000000000000e+00
-2.533889999999999887e+01 0.000000000000000000e+00
-2.532659999999999911e+01 0.000000000000000000e+00
-2.531419999999999959e+01 0.000000000000000000e+00
-2.530189999999999984e+01 0.000000000000000000e+00
-2.528950000000000031e+01 0.000000000000000000e+00
-2.527709999999999724e+01 0.000000000000000000e+00
-2.526479999999999748e+01 0.000000000000000000e+00
-2.525239999999999796e+01 0.000000000000000000e+00
-2.524009999999999820e+01 0.000000000000000000e+00
-2.522769999999999868e+01 0.000000000000000000e+00
-2.521529999999999916e+01 0.000000000000000000e+00
-2.520299999999999940e+01 0.000000000000000000e+00
-2.519059999999999988e+01 0.000000000000000000e+00
-2.517820000000000036e+01 0.000000000000000000e+00
-2.516590000000000060e+01 0.000000000000000000e+00
-2.515349999999999753e+01 0.000000000000000000e+00
-2.514119999999999777e+01 0.000000000000000000e+00
-2.512879999999999825e+01 0.000000000000000000e+00
-2.511639999999999873e+01 0.000000000000000000e+00
-2.510409999999999897e+01 0.000000000000000000e+00
-2.509169999999999945e+01 0.000000000000000000e+00
-2.507929999999999993e+01 0.000000000000000000e+00
-2.506700000000000017e+01 0.000000000000000000e+00
-2.505459999999999710e+01 0.000000000000000000e+00
-2.504229999999999734e+01 0.000000000000000000e+00
-2.502989999999999782e+01 0.000000000000000000e+00
-2.501749999999999829e+01 0.000000000000000000e+00
-2.500519999999999854e+01 0.000000000000000000e+00
-2.499279999999999902e+01 0.000000000000000000e+00
-2.498049999999999926e+01 0.000000000000000000e+00
-2.496809999999999974e+01 0.000000000000000000e+00
-2.495570000000000022e+01 0.000000000000000000e+00
-2.494340000000000046e+01 0.000000000000000000e+00
-2.493099999999999739e+01 0.000000000000000000e+00
-2.491859999999999786e+01 0.000000000000000000e+00
-2.490629999999999811e+01 0.000000000000000000e+00
-2.489389999999999858e+01 0.000000000000000000e+00
-2.488159999999999883e+01 0.000000000000000000e+00
-2.486919999999999931e+01 0.000000000000000000e+00
-2.485679999999999978e+01 0.000000000000000000e+00
