# energy s p d
-2.778239999999999910e+01 1.853645607891552666e-02 2.050805111275865247e-02 1.313149173084257200e+03
-2.776960000000000051e+01 1.679324531775979942e-02 1.854548181378389005e-02 1.142716660030024514e+03
-2.775690000000000168e+01 1.486224518763601225e-02 1.639813614448813392e-02 9.695883387057300524e+02
-2.774409999999999954e+01 1.283046419572971691e-02 1.415272603965739805e-02 8.020590196541709247e+02
-2.773140000000000072e+01 1.079092073592377403e-02 1.190519839640103751e-02 6.467807136623928272e+02
-2.771859999999999857e+01 8.831596952124634928e-03 9.748345909911016599e-03 5.083791675448852061e+02
-2.770589999999999975e+01 7.026221578694659929e-03 7.761148500443263050e-03 3.894099586869527911e+02
-2.769310000000000116e+01 5.428145982895242298e-03 6.001434945740128507e-03 2.905790551346112807e+02
-2.768039999999999878e+01 4.067867829506115890e-03 4.502585892203533197e-03 2.111240490429099737e+02
-2.766760000000000019e+01 2.953849061046786694e-03 3.274073143677645910e-03 1.492558834251149733e+02
-2.765490000000000137e+01 2.075918332280874204e-03 2.304949118474401443e-03 1.025843705086628574e+02
-2.764209999999999923e+01 1.410262543631345036e-03 1.569230590482262495e-03 6.848032909133706880e+01
-2.762940000000000040e+01 9.248912628524038563e-04 1.031914066186071692e-03 4.435302994899821272e+01
-2.761659999999999826e+01 5.847742861458743923e-04 6.545947941956072698e-04 2.783987213903199276e+01
-2.760389999999999944e+01 3.559297662109405609e-04 4.000080076341421074e-04 1.691617957013175300e+01
-2.759110000000000085e+01 2.082286035629996816e-04 2.351052047263595015e-04 9.938825540374860879e+00
-2.757829999999999870e+01 1.168974581662551138e-04 1.326897420386640109e-04 5.639987961381943471e+00
-2.756559999999999988e+01 6.285798462123098191e-05 7.177644192202997447e-05 3.087755786419632553e+00
-2.755280000000000129e+01 3.231086008694358829e-05 3.713416902527057358e-05 1.628978302682646317e+00
-2.754009999999999891e+01 1.583664081162171461e-05 1.832824469805340655e-05 8.270060392399410931e-01
-2.752730000000000032e+01 7.377906814312960527e-06 8.601279185170696950e-06 4.033585722812579322e-01
-2.751460000000000150e+01 3.252674307132285663e-06 3.821456725781450786e-06 1.885795179041871994e-01
-2.750179999999999936e+01 1.344631209597694435e-06 1.593103208719704872e-06 8.426021064192477927e-02
-2.748910000000000053e+01 5.184993788106723219e-07 6.202875352094457403e-07 3.584200208422746309e-02
-2.747629999999999839e+01 1.820462595202153175e-07 2.216100598022042706e-07 1.444535965946431091e-02
-2.746359999999999957e+01 5.723342402997384559e-08 7.072080586103944022e-08 5.485473600317270979e-03
-2.745080000000000098e+01 1.412388426226750367e-08 1.904401316009063903e-08 1.950616186280262768e-03
